"pattern"	"genecount"	"genelen"	"nhits"	"sample"
"6246"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXQ"	6	287	17124	"T172"
"6247"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB"	136	284	17124	"T172"
"6248"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SDEB"	4	284	17124	"T172"
"6249"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SDEY"	2	287	17124	"T172"
"6250"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SME"	1	282	17124	"T172"
"6251"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|TTGB"	4	276	17124	"T172"
"6252"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADW"	2	285	17124	"T172"
"6253"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|KPNO"	4	270	17124	"T172"
"6254"	"Biocides|Acetate_resistance|Acetate_resistance_protein|ICLR"	6	203	599371	"T170"
"6255"	"Biocides|Acetate_resistance|Acetate_resistance_protein|LPDT"	12	184	599371	"T170"
"6256"	"Biocides|Acid_resistance|Acid_resistance_protein|GADA"	18	155	599371	"T170"
"6257"	"Biocides|Acid_resistance|Acid_resistance_protein|GADB"	11	155	599371	"T170"
"6258"	"Biocides|Acid_resistance|Acid_resistance_protein|YDEP"	10	151	599371	"T170"
"6259"	"Biocides|Acid_resistance|Acid_resistance_regulator|EVGA"	1	268	599371	"T170"
"6260"	"Biocides|Acid_resistance|Acid_resistance_regulator|GADE"	2	231	599371	"T170"
"6261"	"Biocides|Biguanide_resistance|Biguanide_cation_efflux|CEPAB"	2	244	599371	"T170"
"6262"	"Biocides|Multi-biocide_resistance|Multi-biocide_ABC_efflux_pump|SMRA"	28	156	599371	"T170"
"6263"	"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_protein|YJCG"	3	168	599371	"T170"
"6264"	"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|RPOS"	12	178	599371	"T170"
"6265"	"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|YDEO"	2	152	599371	"T170"
"6266"	"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|EMHB"	3	150	599371	"T170"
"6267"	"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|MEXW"	27	161	599371	"T170"
"6268"	"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|SRPB"	9	165	599371	"T170"
"6269"	"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TBTB"	11	158	599371	"T170"
"6270"	"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC"	12	214	599371	"T170"
"6271"	"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TTGE"	2	157	599371	"T170"
"6272"	"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMEB"	2	246	599371	"T170"
"6273"	"Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA"	14	164	599371	"T170"
"6274"	"Biocides|Peroxide_resistance|peroxide_resistance_protein|SODB"	4	278	599371	"T170"
"6275"	"Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPB"	2	181	599371	"T170"
"6276"	"Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABI"	3	164	599371	"T170"
"6277"	"Biocides|Phenolic_compound_resistance|Phenolic_RND_efflux_pump|TRIC"	23	164	599371	"T170"
"6278"	"Biocides|Phenolic_compound_resistance|Triclosan-resistant_mutation|FABG|RequiresSNPConfirmation"	1	210	599371	"T170"
"6279"	"Drugs|Aminocoumarins|Aminocoumarin_efflux_pump|NOVA"	10	215	599371	"T170"
"6280"	"Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation"	124	152	599371	"T170"
"6281"	"Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation"	976	150	599371	"T170"
"6282"	"Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARY"	31	154	599371	"T170"
"6283"	"Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3"	126	150	599371	"T170"
"6284"	"Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME"	91	158	599371	"T170"
"6285"	"Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME"	34	154	599371	"T170"
"6286"	"Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6"	402	151	599371	"T170"
"6287"	"Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9"	134	151	599371	"T170"
"6288"	"Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME"	25	151	599371	"T170"
"6289"	"Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME"	75	151	599371	"T170"
"6290"	"Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH4"	2	166	599371	"T170"
"6291"	"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation"	151745	150	599371	"T170"
"6292"	"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation"	17375	150	599371	"T170"
"6293"	"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation"	11329	150	599371	"T170"
"6294"	"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation"	11328	150	599371	"T170"
"6295"	"Drugs|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA"	6	227	599371	"T170"
"6296"	"Drugs|betalactams|Class_A_betalactamases|CARB"	9	201	599371	"T170"
"6297"	"Drugs|betalactams|Class_A_betalactamases|CEPA"	7	176	599371	"T170"
"6298"	"Drugs|betalactams|Class_A_betalactamases|CTX"	3	182	599371	"T170"
"6299"	"Drugs|betalactams|Class_A_betalactamases|GES"	52	172	599371	"T170"
"6300"	"Drugs|betalactams|Class_A_betalactamases|PENA"	15	173	599371	"T170"
"6301"	"Drugs|betalactams|Class_A_betalactamases|TEM"	1776	151	599371	"T170"
"6302"	"Drugs|betalactams|Class_A_betalactamases|VEB"	10	167	599371	"T170"
"6303"	"Drugs|betalactams|Class_B_betalactamases|BJP1"	9	157	599371	"T170"
"6304"	"Drugs|betalactams|Class_B_betalactamases|CCRA"	37	151	599371	"T170"
"6305"	"Drugs|betalactams|Class_B_betalactamases|CFIA"	751	151	599371	"T170"
"6306"	"Drugs|betalactams|Class_B_betalactamases|IMP"	4	259	599371	"T170"
"6307"	"Drugs|betalactams|Class_B_betalactamases|LRA"	1	227	599371	"T170"
"6308"	"Drugs|betalactams|Class_B_betalactamases|VIM"	6	167	599371	"T170"
"6309"	"Drugs|betalactams|Class_C_betalactamases|ACT"	24	164	599371	"T170"
"6310"	"Drugs|betalactams|Class_C_betalactamases|AMPC"	6	160	599371	"T170"
"6311"	"Drugs|betalactams|Class_C_betalactamases|AQU"	3	171	599371	"T170"
"6312"	"Drugs|betalactams|Class_C_betalactamases|AZECL"	2	174	599371	"T170"
"6313"	"Drugs|betalactams|Class_C_betalactamases|BLAEC"	60	160	599371	"T170"
"6314"	"Drugs|betalactams|Class_C_betalactamases|CEPS"	1	267	599371	"T170"
"6315"	"Drugs|betalactams|Class_C_betalactamases|FOX"	4	185	599371	"T170"
"6316"	"Drugs|betalactams|Class_C_betalactamases|MIR"	50	174	599371	"T170"
"6317"	"Drugs|betalactams|Class_C_betalactamases|MOX"	6	171	599371	"T170"
"6318"	"Drugs|betalactams|Class_C_betalactamases|OCH"	12	193	599371	"T170"
"6319"	"Drugs|betalactams|Class_C_betalactamases|PDC"	18	257	599371	"T170"
"6320"	"Drugs|betalactams|Class_D_betalactamases|OXA"	25	171	599371	"T170"
"6321"	"Drugs|betalactams|Mutant_porin_proteins|OMP36|RequiresSNPConfirmation"	8	187	599371	"T170"
"6322"	"Drugs|betalactams|Mutant_porin_proteins|OMPD"	2	205	599371	"T170"
"6323"	"Drugs|betalactams|Mutant_porin_proteins|OMPFB|RequiresSNPConfirmation"	1	267	599371	"T170"
"6324"	"Drugs|betalactams|Mutant_porin_proteins|OMPR"	35	154	599371	"T170"
"6325"	"Drugs|betalactams|Penicillin_binding_protein|AMPH"	4	178	599371	"T170"
"6326"	"Drugs|betalactams|Penicillin_binding_protein|PBP2"	4	219	599371	"T170"
"6327"	"Drugs|betalactams|Penicillin_binding_protein|PBP4B"	5	155	599371	"T170"
"6328"	"Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation"	11329	150	599371	"T170"
"6329"	"Drugs|Cationic_antimicrobial_peptides|Defensin-resistant_mprF|MPRF"	1	187	599371	"T170"
"6330"	"Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|EPTA"	1	171	599371	"T170"
"6331"	"Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|PMRF"	5	166	599371	"T170"
"6332"	"Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|UGD"	3	154	599371	"T170"
"6333"	"Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|ARNA"	2	151	599371	"T170"
"6334"	"Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation"	2235	150	599371	"T170"
"6335"	"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation"	688	150	599371	"T170"
"6336"	"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation"	56	155	599371	"T170"
"6337"	"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation"	87	154	599371	"T170"
"6338"	"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PAREF|RequiresSNPConfirmation"	84	153	599371	"T170"
"6339"	"Drugs|Fosfomycin|Fosfomycin_target_mutation|GLPT|RequiresSNPConfirmation"	6	160	599371	"T170"
"6340"	"Drugs|Fosfomycin|Fosfomycin_target_mutation|MURA|RequiresSNPConfirmation"	26	163	599371	"T170"
"6341"	"Drugs|Fosfomycin|Fosfomycin_target_mutation|PTSL|RequiresSNPConfirmation"	1	245	599371	"T170"
"6342"	"Drugs|Fosfomycin|Fosfomycin_target_mutation|UHPT|RequiresSNPConfirmation"	6	161	599371	"T170"
"6343"	"Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSA|RequiresSNPConfirmation"	188	151	599371	"T170"
"6344"	"Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSE|RequiresSNPConfirmation"	3	169	599371	"T170"
"6345"	"Drugs|Glycopeptides|VanA-type_resistance_protein|VAN|RequiresSNPConfirmation"	1	230	599371	"T170"
"6346"	"Drugs|Glycopeptides|VanC-type_resistance_protein|VANC"	2	207	599371	"T170"
"6347"	"Drugs|Glycopeptides|VanC-type_resistance_protein|VANXYC"	1	207	599371	"T170"
"6348"	"Drugs|Glycopeptides|Vancomycin-resistant_mutation|RPOC|RequiresSNPConfirmation"	118	150	599371	"T170"
"6349"	"Drugs|Glycopeptides|VanD-type_regulator|VANRD"	1	171	599371	"T170"
"6350"	"Drugs|Glycopeptides|VanO-type_regulator|VANRO"	5	200	599371	"T170"
"6351"	"Drugs|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOBL|RequiresSNPConfirmation"	100	150	599371	"T170"
"6352"	"Drugs|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC|RPOCL|RequiresSNPConfirmation"	344	150	599371	"T170"
"6353"	"Drugs|Lipopeptides|Daptomycin-resistant_mutant|CLS|RequiresSNPConfirmation"	3	168	599371	"T170"
"6354"	"Drugs|Lipopeptides|Daptomycin-resistant_mutant|LIAFSR|RequiresSNPConfirmation"	7	164	599371	"T170"
"6355"	"Drugs|Lipopeptides|Daptomycin-resistant_mutant|PGSA|RequiresSNPConfirmation"	3	221	599371	"T170"
"6356"	"Drugs|Lipopeptides|Daptomycin-resistant_mutant|YYBT|RequiresSNPConfirmation"	1	202	599371	"T170"
"6357"	"Drugs|MLS|23S_rRNA_methyltransferases|CFR"	21	151	599371	"T170"
"6358"	"Drugs|MLS|23S_rRNA_methyltransferases|ERM"	3	150	599371	"T170"
"6359"	"Drugs|MLS|23S_rRNA_methyltransferases|ERMA"	2	159	599371	"T170"
"6360"	"Drugs|MLS|23S_rRNA_methyltransferases|ERMB"	3474	155	599371	"T170"
"6361"	"Drugs|MLS|23S_rRNA_methyltransferases|ERMF"	156	150	599371	"T170"
"6362"	"Drugs|MLS|23S_rRNA_methyltransferases|ERMG"	6	212	599371	"T170"
"6363"	"Drugs|MLS|23S_rRNA_methyltransferases|ERMQ"	12	171	599371	"T170"
"6364"	"Drugs|MLS|23S_rRNA_methyltransferases|ERMX"	16	156	599371	"T170"
"6365"	"Drugs|MLS|23S_rRNA_methyltransferases|MYRA"	6	160	599371	"T170"
"6366"	"Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA"	322	151	599371	"T170"
"6367"	"Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUB"	91	150	599371	"T170"
"6368"	"Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUC"	221	150	599371	"T170"
"6369"	"Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUP"	18	158	599371	"T170"
"6370"	"Drugs|MLS|Macrolide_phosphotransferases|MPHB"	2	191	599371	"T170"
"6371"	"Drugs|MLS|Macrolide_phosphotransferases|MPHN"	2	191	599371	"T170"
"6372"	"Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation"	245283	150	599371	"T170"
"6373"	"Drugs|MLS|MLS_resistance_ABC_efflux_pumps|LSA"	156	151	599371	"T170"
"6374"	"Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRC"	18	155	599371	"T170"
"6375"	"Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD"	558	150	599371	"T170"
"6376"	"Drugs|MLS|MLS_resistance_ABC_efflux_pumps|OLEB"	11	158	599371	"T170"
"6377"	"Drugs|MLS|MLS_resistance_ABC_efflux_pumps|OLEC"	48	157	599371	"T170"
"6378"	"Drugs|MLS|MLS_resistance_ABC_efflux_pumps|TLRC"	11	153	599371	"T170"
"6379"	"Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA"	4443	150	599371	"T170"
"6380"	"Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFE"	58	151	599371	"T170"
"6381"	"Drugs|Multi-drug_resistance|MDR_23S_rRNA_mutation|MDR23S|RequiresSNPConfirmation"	7681	150	599371	"T170"
"6382"	"Drugs|Multi-drug_resistance|MDR_mutant_porin_proteins|OMPF|RequiresSNPConfirmation"	1	267	599371	"T170"
"6383"	"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|CARA"	6	173	599371	"T170"
"6384"	"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|EATAV|RequiresSNPConfirmation"	16	166	599371	"T170"
"6385"	"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|LSAE"	91	150	599371	"T170"
"6386"	"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MACB"	2	195	599371	"T170"
"6387"	"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MSBA"	7	172	599371	"T170"
"6388"	"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|SRMB"	16	170	599371	"T170"
"6389"	"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|TLRCM"	37	163	599371	"T170"
"6390"	"Drugs|Multi-drug_resistance|Multi-drug_MFS_efflux_pumps|IRFA"	3	176	599371	"T170"
"6391"	"Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|HNS"	2	166	599371	"T170"
"6392"	"Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|MUXA"	3	220	599371	"T170"
"6393"	"Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|MUXB"	140	156	599371	"T170"
"6394"	"Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|MUXC"	144	152	599371	"T170"
"6395"	"Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|ASMA"	7	157	599371	"T170"
"6396"	"Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|ILES|RequiresSNPConfirmation"	69	150	599371	"T170"
"6397"	"Drugs|Mycobacterium_tuberculosis-specific_Drug|Isoniazid-resistant_mutant|KATG|RequiresSNPConfirmation"	1	173	599371	"T170"
"6398"	"Drugs|Mycobacterium_tuberculosis-specific_Drug|Isoniazid-resistant_mutant|NDH|RequiresSNPConfirmation"	3	150	599371	"T170"
"6399"	"Drugs|Mycobacterium_tuberculosis-specific_Drug|Pyrazinamide-resistant_mutant|RPSA|RequiresSNPConfirmation"	17	201	599371	"T170"
"6400"	"Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT"	22	152	599371	"T170"
"6401"	"Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation"	28689	150	599371	"T170"
"6402"	"Drugs|Pactamycin|Pactamycin-resistant_16S_ribosomal_subunit_protein|P16S|RequiresSNPConfirmation"	109	150	599371	"T170"
"6403"	"Drugs|Phenicol|Chloramphenicol_acetyltransferases|CAT"	6	171	599371	"T170"
"6404"	"Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation"	1	161	599371	"T170"
"6405"	"Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMX"	9	155	599371	"T170"
"6406"	"Drugs|Phenicol|Phenicol-resistant_23S_rRNA_mutation|PH23S|RequiresSNPConfirmation"	91	150	599371	"T170"
"6407"	"Drugs|Pleuromutilin|Pleuromutilin-resistant_23S_rRNA_mutation|P23S|RequiresSNPConfirmation"	8592	150	599371	"T170"
"6408"	"Drugs|Rifampin|Monooxygenase|IRI"	26	152	599371	"T170"
"6409"	"Drugs|Rifampin|Monooxygenase|ROX"	26	152	599371	"T170"
"6410"	"Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation"	4500	150	599371	"T170"
"6411"	"Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation"	17	169	599371	"T170"
"6412"	"Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI"	38	176	599371	"T170"
"6413"	"Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII"	3	182	599371	"T170"
"6414"	"Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX"	85	153	599371	"T170"
"6415"	"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET33"	32	152	599371	"T170"
"6416"	"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET45"	5	165	599371	"T170"
"6417"	"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA"	394	150	599371	"T170"
"6418"	"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB"	73	150	599371	"T170"
"6419"	"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETBP"	113	151	599371	"T170"
"6420"	"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL"	233	165	599371	"T170"
"6421"	"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETZ"	14	159	599371	"T170"
"6422"	"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32"	39	150	599371	"T170"
"6423"	"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40"	60	159	599371	"T170"
"6424"	"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET44"	6	218	599371	"T170"
"6425"	"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM"	11593	150	599371	"T170"
"6426"	"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO"	10141	150	599371	"T170"
"6427"	"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ"	1050	150	599371	"T170"
"6428"	"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETS"	129	151	599371	"T170"
"6429"	"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW"	31858	150	599371	"T170"
"6430"	"Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation"	10	151	599371	"T170"
"6431"	"Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation"	22205	150	599371	"T170"
"6432"	"Metals|Arsenic_resistance|Arsenic_resistance_protein|ARST"	10	162	599371	"T170"
"6433"	"Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTA"	9	172	599371	"T170"
"6434"	"Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTB"	12	151	599371	"T170"
"6435"	"Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTC"	6	153	599371	"T170"
"6436"	"Metals|Arsenic_resistance|Arsenic_resistance_regulator|ARSR"	3	176	599371	"T170"
"6437"	"Metals|Chromium_resistance|Chromium_resistance_protein|NFSA"	4	164	599371	"T170"
"6438"	"Metals|Cobalt_resistance|Cobalt_transporting_ATPase|NHLF"	3	166	599371	"T170"
"6439"	"Metals|Copper_resistance|Copper_resistance_protein|ACTPC"	33	161	599371	"T170"
"6440"	"Metals|Copper_resistance|Copper_resistance_protein|COPA"	57	155	599371	"T170"
"6441"	"Metals|Copper_resistance|Copper_resistance_protein|COPB"	6	165	599371	"T170"
"6442"	"Metals|Copper_resistance|Copper_resistance_protein|COPF"	24	157	599371	"T170"
"6443"	"Metals|Copper_resistance|Copper_resistance_protein|COPG"	3	166	599371	"T170"
"6444"	"Metals|Copper_resistance|Copper_resistance_protein|CTPV"	50	154	599371	"T170"
"6445"	"Metals|Copper_resistance|Copper_resistance_protein|CUEO"	5	168	599371	"T170"
"6446"	"Metals|Copper_resistance|Copper_resistance_protein|CUTA"	1	229	599371	"T170"
"6447"	"Metals|Copper_resistance|Copper_resistance_protein|CUTC"	2	151	599371	"T170"
"6448"	"Metals|Copper_resistance|Copper_resistance_protein|CUTE"	4	175	599371	"T170"
"6449"	"Metals|Copper_resistance|Copper_resistance_protein|CUTO"	3	195	599371	"T170"
"6450"	"Metals|Copper_resistance|Copper_resistance_protein|DNAK"	53	155	599371	"T170"
"6451"	"Metals|Copper_resistance|Copper_resistance_protein|PCOA"	9	189	599371	"T170"
"6452"	"Metals|Copper_resistance|Copper_resistance_protein|TCRA"	6	154	599371	"T170"
"6453"	"Metals|Copper_resistance|Copper_resistance_protein|TCRB"	41	153	599371	"T170"
"6454"	"Metals|Copper_resistance|Copper_resistance_protein|TCRY"	2	233	599371	"T170"
"6455"	"Metals|Copper_resistance|Copper_resistance_protein|TCRZ"	1	164	599371	"T170"
"6456"	"Metals|Copper_resistance|Copper_resistance_regulator|COMR"	1	170	599371	"T170"
"6457"	"Metals|Copper_resistance|Copper_resistance_regulator|COPR"	4	163	599371	"T170"
"6458"	"Metals|Copper_resistance|Copper_resistance_regulator|COPS"	14	158	599371	"T170"
"6459"	"Metals|Copper_resistance|Copper_resistance_regulator|CORR"	2	211	599371	"T170"
"6460"	"Metals|Copper_resistance|Copper_resistance_regulator|CUER"	2	150	599371	"T170"
"6461"	"Metals|Copper_resistance|Copper_resistance_regulator|PCOS"	1	264	599371	"T170"
"6462"	"Metals|Iron_resistance|Iron_resistance_protein|ACN"	42	151	599371	"T170"
"6463"	"Metals|Lead_resistance|Lead_P-type_ATPase_transporter|PBRA"	6	158	599371	"T170"
"6464"	"Metals|Mercury_resistance|Mercury_resistance_protein|MERA"	35	162	599371	"T170"
"6465"	"Metals|Mercury_resistance|Mercury_resistance_protein|MERT"	2	156	599371	"T170"
"6466"	"Metals|Mercury_resistance|Mercury_resistance_regulator|MERR"	8	198	599371	"T170"
"6467"	"Metals|Mercury_resistance|Mercury_resistance_regulator|MERR2"	3	198	599371	"T170"
"6468"	"Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODA"	3	166	599371	"T170"
"6469"	"Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODB"	5	166	599371	"T170"
"6470"	"Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODC"	1	152	599371	"T170"
"6471"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM"	1	151	599371	"T170"
"6472"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CADA"	5	161	599371	"T170"
"6473"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CNRA"	8	165	599371	"T170"
"6474"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORA"	7	234	599371	"T170"
"6475"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORC"	6	173	599371	"T170"
"6476"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CTPC"	23	150	599371	"T170"
"6477"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CUEA"	45	150	599371	"T170"
"6478"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DMEF"	16	150	599371	"T170"
"6479"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA"	54	190	599371	"T170"
"6480"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBB"	2	237	599371	"T170"
"6481"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|FIEF"	5	216	599371	"T170"
"6482"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MNTH"	5	150	599371	"T170"
"6483"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MNTR"	1	172	599371	"T170"
"6484"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|NCCA"	8	178	599371	"T170"
"6485"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|NCZA"	60	150	599371	"T170"
"6486"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|PITA"	9	174	599371	"T170"
"6487"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RCNA"	3	166	599371	"T170"
"6488"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RECGM"	45	150	599371	"T170"
"6489"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|YFEC"	1	246	599371	"T170"
"6490"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|YGJH"	3	176	599371	"T170"
"6491"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZNTA"	12	150	599371	"T170"
"6492"	"Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|CADX"	229	150	599371	"T170"
"6493"	"Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|MGTA"	16	167	599371	"T170"
"6494"	"Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|RCNR"	1	200	599371	"T170"
